SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
20MICRONS, EQ, 23-Aug-2019,31.75,31.0,32.7,30.7, 31.80,31.45,31.78,29218,9.29,201, 22072, 75.54
21STCENMGM, EQ, 23-Aug-2019,12.25,12.05,12.45,12.05, 12.05,12.05,12.07,82,0.01,7, 82, 100.00
3IINFOTECH, EQ, 23-Aug-2019,1.85,1.85,1.9,1.55, 1.70,1.65,1.7,3820093,64.82,1290, 2412756, 63.16
3MINDIA, EQ, 23-Aug-2019,20236.1,20151.0,20625.0,20125.25, 20625.00,20538.9,20413.2,1186,242.1,576, 807, 68.04
3PLAND, EQ, 23-Aug-2019,5.7,5.5,5.5,5.5, 5.50,5.5,5.5,20,0.0,1, 20, 100.00
5PAISA, EQ, 23-Aug-2019,127.15,120.8,126.0,120.8, 123.20,123.45,122.0,13552,16.53,422, 10286, 75.90
63MOONS, EQ, 23-Aug-2019,104.75,115.0,115.2,112.0, 115.20,115.2,115.03,127508,146.67,684, 111371, 87.34
8KMILES, EQ, 23-Aug-2019,51.6,49.5,52.7,49.05, 50.15,50.45,50.43,108410,54.67,1552, 51827, 47.81
A2ZINFRA, EQ, 23-Aug-2019,9.1,9.05,9.75,8.55, 9.60,9.55,9.08,210750,19.14,427, 130563, 61.95
AARTIDRUGS, EQ, 23-Aug-2019,458.2,453.0,479.9,451.6, 479.85,477.4,465.1,7398,34.41,553, 5347, 72.28
AARTIIND, EQ, 23-Aug-2019,1467.3,1452.0,1514.8,1425.75, 1497.90,1492.6,1466.46,89263,1309.0,9725, 52008, 58.26
AARVEEDEN, EQ, 23-Aug-2019,12.95,12.7,13.9,12.25, 12.40,12.45,12.59,8274,1.04,125, 6845, 82.73
AAVAS, EQ, 23-Aug-2019,1477.85,1501.0,1519.95,1421.25, 1460.65,1481.25,1478.08,11716,173.17,1637, 5749, 49.07
ABAN, EQ, 23-Aug-2019,23.5,23.1,23.45,22.35, 22.60,22.5,22.47,91904,20.65,771, 65843, 71.64
ABB, EQ, 23-Aug-2019,1349.45,1341.25,1352.95,1328.5, 1339.00,1339.8,1340.06,56160,752.58,2368, 38938, 69.33
ABBOTINDIA, EQ, 23-Aug-2019,8805.55,8899.5,8899.5,8700.0, 8869.00,8790.85,8768.63,13284,1164.82,2425, 6521, 49.09
ABCAPITAL, EQ, 23-Aug-2019,88.0,87.2,88.9,84.75, 86.50,86.85,87.2,1860285,1622.19,22976, 1113054, 59.83
ABFRL, EQ, 23-Aug-2019,189.85,189.1,192.8,185.2, 187.85,189.15,189.05,698781,1321.02,17572, 427422, 61.17
ABSLNN50ET, EQ, 23-Aug-2019,253.0,250.7,255.19,250.7, 255.19,254.2,254.19,9053,23.01,7, 9048, 99.94
ACC, EQ, 23-Aug-2019,1464.6,1460.0,1478.2,1445.85, 1468.90,1468.75,1465.7,807076,11829.3,43093, 215700, 26.73
ACCELYA, EQ, 23-Aug-2019,709.5,709.5,755.0,701.0, 755.00,731.65,716.5,4496,32.21,363, 3401, 75.65
ACE, EQ, 23-Aug-2019,50.6,48.8,55.0,48.2, 53.00,53.05,52.88,290353,153.54,6281, 148876, 51.27
ADANIENT, EQ, 23-Aug-2019,126.9,123.4,132.2,122.9, 130.90,131.3,128.91,4374006,5638.43,21883, 423740, 9.69
ADANIGAS, EQ, 23-Aug-2019,146.3,142.55,148.7,141.0, 146.35,146.6,145.03,353163,512.18,4743, 138747, 39.29
ADANIGREEN, EQ, 23-Aug-2019,43.5,43.0,44.0,42.75, 43.75,43.85,43.59,394426,171.93,1954, 181453, 46.00
ADANIPORTS, EQ, 23-Aug-2019,345.05,346.4,354.15,339.65, 348.35,349.35,348.04,2246560,7818.98,50445, 540860, 24.08
ADANIPOWER, EQ, 23-Aug-2019,56.9,57.0,59.2,55.15, 58.30,58.6,57.46,8517451,4893.88,18914, 844115, 9.91
ADANITRANS, EQ, 23-Aug-2019,216.65,216.0,224.65,213.4, 223.60,223.4,221.51,62079,137.51,3691, 23430, 37.74
ADFFOODS, EQ, 23-Aug-2019,245.6,240.3,253.8,240.3, 250.00,250.45,248.34,21578,53.59,1599, 7579, 35.12
ADHUNIKIND, EQ, 23-Aug-2019,87.8,87.95,88.65,86.0, 88.55,87.35,87.41,26414,23.09,273, 18293, 69.25
ADLABS, EQ, 23-Aug-2019,3.55,3.65,3.7,3.5, 3.65,3.7,3.65,74664,2.72,279, 56557, 75.75
ADORWELD, EQ, 23-Aug-2019,283.3,281.0,285.55,281.0, 285.45,284.9,283.38,965,2.73,76, 709, 73.47
ADSL, EQ, 23-Aug-2019,13.55,13.25,14.0,12.25, 13.70,13.9,13.27,42655,5.66,176, 27470, 64.40
ADVANIHOTR, EQ, 23-Aug-2019,50.95,49.0,53.05,49.0, 51.50,51.5,50.46,2068,1.04,96, 1742, 84.24
ADVENZYMES, EQ, 23-Aug-2019,147.05,147.5,147.85,142.65, 144.00,144.75,145.18,58083,84.33,3604, 32511, 55.97
AEGISCHEM, EQ, 23-Aug-2019,198.85,198.85,199.45,193.2, 194.30,194.2,195.96,65781,128.91,3330, 38804, 58.99
AFFLE, EQ, 23-Aug-2019,781.6,780.0,785.9,770.6, 775.05,777.5,778.36,37357,290.77,1552, 25040, 67.03
AGARIND, EQ, 23-Aug-2019,127.05,123.05,130.0,122.1, 123.10,124.9,128.07,47129,60.36,161, 44626, 94.69
AGCNET, EQ, 23-Aug-2019,127.05,126.95,127.45,117.7, 123.50,125.25,124.21,16920,21.02,523, 8837, 52.23
AGLSL, EQ, 23-Aug-2019,45.0,45.45,50.0,43.2, 46.00,48.8,45.65,9192,4.2,75, 6583, 71.62
AGRITECH, EQ, 23-Aug-2019,44.85,43.55,44.8,41.55, 43.35,43.65,43.35,22197,9.62,262, 11461, 51.63
AHLEAST, EQ, 23-Aug-2019,163.85,160.95,161.0,155.0, 161.00,161.0,158.02,5963,9.42,101, 3737, 62.67
AHLUCONT, EQ, 23-Aug-2019,308.7,303.05,307.0,300.15, 307.00,305.0,304.97,100972,307.93,391, 99823, 98.86
AHLWEST, EQ, 23-Aug-2019,263.3,270.0,293.0,252.8, 275.00,272.5,267.12,2096,5.6,212, 1335, 63.69
AIAENG, EQ, 23-Aug-2019,1597.4,1576.0,1633.0,1576.0, 1596.00,1599.5,1612.53,34021,548.6,6063, 23997, 70.54
