SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
20MICRONS, EQ, 02-Dec-2019,33.55,33.9,34.25,33.15, 33.55,33.5,33.65,23479,7.9,232, 11404, 48.57
21STCENMGM, EQ, 02-Dec-2019,13.35,13.2,13.2,13.2, 13.20,13.2,13.2,1000,0.13,1, 1000, 100.00
3IINFOTECH, EQ, 02-Dec-2019,1.95,2.0,2.0,1.9, 2.00,1.95,1.97,1255578,24.67,639, 896628, 71.41
3MINDIA, EQ, 02-Dec-2019,22241.75,22399.0,22469.0,22180.0, 22180.00,22206.3,22329.59,1027,229.32,665, 595, 57.94
3PLAND, EQ, 02-Dec-2019,5.85,5.85,6.0,5.65, 5.65,5.85,5.86,2893,0.17,17, 1616, 55.86
5PAISA, EQ, 02-Dec-2019,165.45,171.0,173.7,166.0, 173.70,173.7,171.54,28312,48.57,876, 16341, 57.72
63MOONS, EQ, 02-Dec-2019,104.85,105.25,105.6,102.15, 103.85,103.0,103.28,145226,150.0,1772, 100817, 69.42
A2ZINFRA, EQ, 02-Dec-2019,8.85,9.35,9.35,8.75, 8.80,8.8,8.86,134242,11.89,251, 102026, 76.00
AARTIDRUGS, EQ, 02-Dec-2019,520.0,518.0,524.0,518.0, 518.00,519.7,521.48,4506,23.5,618, 2725, 60.47
AARTIIND, EQ, 02-Dec-2019,843.65,843.65,843.65,822.45, 826.80,827.25,832.26,83360,693.77,6489, 50264, 60.30
AARVEEDEN, EQ, 02-Dec-2019,12.6,12.35,12.5,12.15, 12.15,12.25,12.26,9064,1.11,44, 8625, 95.16
AAVAS, EQ, 02-Dec-2019,1773.25,1755.0,1788.75,1717.25, 1745.00,1751.9,1753.99,60263,1057.01,7026, 38403, 63.73
ABB, EQ, 02-Dec-2019,1447.8,1445.0,1494.0,1442.95, 1479.00,1479.4,1476.6,79049,1167.24,7330, 41678, 52.72
ABBOTINDIA, EQ, 02-Dec-2019,12578.4,12678.4,12880.0,12578.4, 12658.00,12621.25,12714.32,7348,934.25,3090, 3667, 49.90
ABCAPITAL, EQ, 02-Dec-2019,109.45,109.8,111.0,105.75, 106.80,107.15,107.94,2691643,2905.25,34621, 979478, 36.39
ABFRL, EQ, 02-Dec-2019,225.25,224.65,228.7,220.0, 225.30,226.65,224.19,416171,933.01,7191, 191318, 45.97
ABSLBANETF, EQ, 02-Dec-2019,323.33,320.7,320.7,316.16, 317.17,318.49,318.46,4,0.01,4, 0, 0.00
ABSLNN50ET, EQ, 02-Dec-2019,286.3,288.0,288.15,286.38, 286.38,286.38,287.19,15,0.04,4, 8, 53.33
ACC, EQ, 02-Dec-2019,1522.15,1521.0,1546.8,1520.0, 1535.70,1531.3,1535.17,769666,11815.67,26378, 158646, 20.61
ACCELYA, EQ, 02-Dec-2019,954.1,954.1,960.5,950.0, 957.00,956.55,956.79,18188,174.02,612, 14441, 79.40
ACE, EQ, 02-Dec-2019,77.8,78.0,78.3,74.9, 74.95,75.25,75.8,56079,42.51,1173, 26395, 47.07
ADANIENT, EQ, 02-Dec-2019,214.9,212.0,213.7,206.05, 208.35,209.0,209.63,3169460,6644.13,20785, 356637, 11.25
ADANIGAS, EQ, 02-Dec-2019,161.35,161.5,167.7,158.15, 163.25,164.15,163.97,3953480,6482.37,29583, 821792, 20.79
ADANIGREEN, EQ, 02-Dec-2019,137.1,138.0,138.7,130.25, 132.25,131.3,131.81,3121254,4114.1,18933, 1339025, 42.90
ADANIPORTS, EQ, 02-Dec-2019,382.05,381.1,383.35,375.85, 377.70,377.75,378.59,3783084,14322.2,52045, 1554201, 41.08
ADANIPOWER, EQ, 02-Dec-2019,63.6,63.95,64.2,62.0, 62.10,62.3,62.97,6394975,4026.78,14396, 1317580, 20.60
ADANITRANS, EQ, 02-Dec-2019,310.15,313.0,341.35,303.9, 332.25,332.15,329.24,2329535,7669.84,37563, 486884, 20.90
ADFFOODS, EQ, 02-Dec-2019,300.35,301.9,311.5,301.9, 308.00,308.35,307.29,114161,350.8,2596, 69125, 60.55
ADHUNIKIND, EQ, 02-Dec-2019,116.75,117.05,118.3,114.3, 114.60,114.85,116.3,19884,23.12,581, 9939, 49.98
ADORWELD, EQ, 02-Dec-2019,312.6,314.05,314.85,307.1, 311.50,312.0,311.53,7889,24.58,376, 4305, 54.57
ADSL, EQ, 02-Dec-2019,23.65,23.85,25.0,23.5, 23.75,23.65,24.21,279118,67.57,850, 172893, 61.94
ADVANIHOTR, EQ, 02-Dec-2019,54.65,54.6,55.45,54.55, 54.70,54.7,54.71,2007,1.1,30, 1710, 85.20
ADVENZYMES, EQ, 02-Dec-2019,165.55,166.8,171.9,164.25, 166.10,166.4,168.07,146367,246.0,3555, 40221, 27.48
AEGISCHEM, EQ, 02-Dec-2019,195.6,196.8,203.5,191.7, 195.50,195.05,196.08,249275,488.78,7187, 128597, 51.59
AFFLE, EQ, 02-Dec-2019,1521.45,1560.0,1568.0,1480.1, 1492.00,1490.2,1515.27,87205,1321.39,8232, 29088, 33.36
AGARIND, EQ, 02-Dec-2019,101.0,105.0,105.0,99.9, 102.00,102.05,101.96,12805,13.06,88, 12204, 95.31
AGRITECH, EQ, 02-Dec-2019,43.05,43.0,47.0,41.05, 43.95,44.05,44.89,55947,25.12,1529, 19896, 35.56
AGROPHOS, EQ, 02-Dec-2019,133.25,133.75,134.4,133.75, 134.35,134.15,134.16,814459,1092.64,7226, 278849, 34.24
AHLEAST, EQ, 02-Dec-2019,182.4,195.2,198.0,178.0, 178.00,178.05,181.49,4488,8.15,318, 1842, 41.04
AHLUCONT, EQ, 02-Dec-2019,274.8,279.7,290.05,263.7, 289.00,288.1,282.59,7144,20.19,841, 3338, 46.72
AHLWEST, EQ, 02-Dec-2019,334.65,333.0,401.55,311.45, 378.00,373.75,375.79,21808,81.95,1384, 9573, 43.90
