SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
20MICRONS, EQ, 17-Dec-2019,32.0,32.25,32.3,31.6, 31.90,31.9,31.93,15159,4.84,398, 9495, 62.64
21STCENMGM, EQ, 17-Dec-2019,13.45,13.6,13.6,13.55, 13.55,13.55,13.56,289,0.04,7, 289, 100.00
3IINFOTECH, EQ, 17-Dec-2019,2.1,2.15,2.15,2.0, 2.00,2.05,2.07,972645,20.11,391, 644101, 66.22
3MINDIA, EQ, 17-Dec-2019,20765.9,21000.0,21099.0,20770.0, 20995.70,20967.3,20894.72,1121,234.23,552, 737, 65.74
3PLAND, EQ, 17-Dec-2019,5.7,5.75,5.75,5.75, 5.75,5.75,5.75,1001,0.06,2, 1001, 100.00
5PAISA, EQ, 17-Dec-2019,181.15,182.55,187.0,178.55, 180.30,180.65,181.43,2804,5.09,181, 2119, 75.57
63MOONS, EQ, 17-Dec-2019,102.15,102.1,103.9,101.5, 102.40,102.1,102.4,106184,108.73,1932, 58256, 54.86
A2ZINFRA, EQ, 17-Dec-2019,8.05,8.1,8.2,7.95, 8.05,8.05,8.07,87058,7.03,196, 79107, 90.87
AARTIDRUGS, EQ, 17-Dec-2019,497.1,498.85,500.95,493.05, 496.75,495.2,497.22,2968,14.76,554, 2045, 68.90
AARTIIND, EQ, 17-Dec-2019,772.7,778.7,781.0,766.1, 771.00,768.7,770.54,84265,649.29,4405, 59311, 70.39
AARVEEDEN, EQ, 17-Dec-2019,11.6,11.75,11.95,11.05, 11.50,11.45,11.39,3119,0.36,73, 2186, 70.09
AAVAS, EQ, 17-Dec-2019,1907.15,1900.0,1915.05,1880.0, 1893.00,1898.45,1904.51,13476,256.65,2319, 6223, 46.18
ABAN, EQ, 17-Dec-2019,26.3,27.4,27.4,26.4, 26.65,26.65,26.96,98554,26.57,2254, 60822, 61.71
ABB, EQ, 17-Dec-2019,1480.4,1482.1,1495.0,1467.3, 1472.00,1474.4,1483.89,44311,657.52,2521, 18880, 42.61
ABBOTINDIA, EQ, 17-Dec-2019,13300.9,13300.0,13470.05,13210.05, 13300.00,13381.8,13365.29,10167,1358.85,3276, 5975, 58.77
ABCAPITAL, EQ, 17-Dec-2019,100.0,100.25,100.8,98.55, 99.00,98.9,99.66,1044597,1041.02,10531, 459389, 43.98
ABFRL, EQ, 17-Dec-2019,229.85,229.6,242.7,229.0, 234.00,234.0,235.27,1400801,3295.64,23289, 640558, 45.73
ABSLBANETF, EQ, 17-Dec-2019,318.32,319.52,319.52,319.52, 319.52,319.52,319.52,1,0.0,1, 1, 100.00
ACC, EQ, 17-Dec-2019,1438.8,1443.45,1466.0,1438.25, 1462.00,1462.3,1458.49,731437,10667.92,25086, 154919, 21.18
ACCELYA, EQ, 17-Dec-2019,949.25,949.25,987.5,949.0, 986.80,985.95,968.81,7372,71.42,568, 5634, 76.42
ACE, EQ, 17-Dec-2019,72.6,71.1,73.8,71.1, 73.05,73.0,73.01,45839,33.47,948, 12959, 28.27
ADANIENT, EQ, 17-Dec-2019,210.5,210.5,213.2,210.0, 211.15,211.2,211.29,1968218,4158.59,9914, 406134, 20.63
ADANIGAS, EQ, 17-Dec-2019,151.6,152.0,152.55,150.4, 150.95,150.65,151.24,562415,850.62,4410, 253234, 45.03
ADANIGREEN, EQ, 17-Dec-2019,134.4,135.0,137.0,134.55, 135.20,135.55,135.75,957067,1299.21,8717, 285160, 29.80
ADANIPORTS, EQ, 17-Dec-2019,368.35,369.2,373.0,367.55, 371.10,371.25,370.57,4226416,15661.99,43968, 2542534, 60.16
ADANIPOWER, EQ, 17-Dec-2019,61.0,61.1,62.35,60.9, 62.00,61.85,61.78,4262313,2633.38,11831, 852185, 19.99
ADANITRANS, EQ, 17-Dec-2019,332.25,333.25,337.55,329.05, 334.50,334.05,334.1,230362,769.63,5471, 118503, 51.44
ADFFOODS, EQ, 17-Dec-2019,303.2,304.3,304.5,298.2, 302.00,303.45,302.35,9954,30.1,309, 6015, 60.43
ADHUNIKIND, EQ, 17-Dec-2019,41.6,39.55,39.55,39.55, 39.55,39.55,39.55,19792,7.83,62, 19792, 100.00
ADORWELD, EQ, 17-Dec-2019,289.4,291.85,293.15,286.1, 288.15,289.9,289.44,1158,3.35,173, 755, 65.20
ADVANIHOTR, EQ, 17-Dec-2019,53.8,54.9,54.95,53.5, 54.50,54.4,54.38,1147,0.62,40, 952, 83.00
ADVENZYMES, EQ, 17-Dec-2019,161.8,161.8,166.9,160.65, 165.55,165.75,164.71,169113,278.55,2217, 68266, 40.37
AEGISCHEM, EQ, 17-Dec-2019,182.95,182.1,186.5,181.95, 184.00,184.05,184.23,99675,183.63,5005, 52787, 52.96
AFFLE, EQ, 17-Dec-2019,1443.45,1446.7,1485.0,1444.15, 1463.00,1461.65,1463.88,63681,932.22,4259, 15210, 23.88
AGARIND, EQ, 17-Dec-2019,76.5,84.0,84.0,78.8, 80.30,79.8,80.4,13895,11.17,269, 9165, 65.96
AGCNET, EQ, 17-Dec-2019,129.95,127.6,130.85,127.55, 130.85,130.1,129.13,828,1.07,57, 595, 71.86
AGRITECH, EQ, 17-Dec-2019,46.7,46.75,48.5,45.0, 46.25,45.8,46.55,24549,11.43,1105, 9290, 37.84
AGROPHOS, EQ, 17-Dec-2019,146.45,147.0,147.35,146.6, 147.10,147.1,147.07,1799249,2646.2,6058, 454785, 25.28
AHLEAST, EQ, 17-Dec-2019,176.95,173.05,179.35,170.05, 171.00,170.85,171.19,2197,3.76,263, 1591, 72.42
AHLUCONT, EQ, 17-Dec-2019,277.8,279.75,287.7,277.2, 286.00,286.0,283.42,2001,5.67,462, 1709, 85.41
AHLWEST, EQ, 17-Dec-2019,330.7,336.8,345.0,316.15, 329.50,329.65,335.2,7371,24.71,306, 1785, 24.22
AIAENG, EQ, 17-Dec-2019,1645.5,1648.0,1651.95,1626.05, 1629.70,1634.0,1639.15,9196,150.74,2407, 6889, 74.91
AIONJSW, EQ, 17-Dec-2019,9.55,9.55,9.6,8.7, 9.50,9.5,9.37,13116,1.23,91, 10024, 76.43
AIRAN, EQ, 17-Dec-2019,14.05,14.5,14.7,13.45, 14.40,14.2,14.27,31410,4.48,234, 17918, 57.05
AJANTPHARM, EQ, 17-Dec-2019,976.95,979.3,985.0,973.4, 976.00,977.3,977.05,36833,359.88,2837, 18243, 49.53
AJMERA, EQ, 17-Dec-2019,113.6,114.45,118.8,112.5, 116.55,116.75,116.27,36265,42.16,873, 12687, 34.98
AKASH, EQ, 17-Dec-2019,62.0,62.0,65.9,62.0, 65.85,65.15,64.98,3602,2.34,13, 1500, 41.64
AKSHARCHEM, EQ, 17-Dec-2019,184.7,184.7,187.95,184.05, 185.00,185.8,186.37,1046,1.95,64, 960, 91.78
AKSHOPTFBR, EQ, 17-Dec-2019,6.7,6.65,6.7,6.45, 6.60,6.65,6.58,162212,10.67,384, 101373, 62.49
AKZOINDIA, EQ, 17-Dec-2019,1933.4,1938.4,1970.0,1928.1, 1957.00,1962.5,1950.51,34338,669.77,1030, 32740, 95.35
