SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
20MICRONS, EQ, 30-Dec-2019,32.45,32.8,33.3,32.1, 33.15,33.1,32.82,23347,7.66,406, 13868, 59.40
21STCENMGM, EQ, 30-Dec-2019,14.75,15.0,15.0,15.0, 15.00,15.0,15.0,50340,7.55,7, 50340, 100.00
3IINFOTECH, EQ, 30-Dec-2019,2.0,2.0,2.05,1.95, 2.05,2.0,2.0,926067,18.51,940, 602439, 65.05
3MINDIA, EQ, 30-Dec-2019,21476.25,21685.0,21685.0,21439.95, 21525.00,21479.05,21504.01,791,170.1,333, 654, 82.68
3PLAND, EQ, 30-Dec-2019,5.95,6.2,6.2,5.7, 5.75,5.75,5.91,650,0.04,8, 230, 35.38
5PAISA, EQ, 30-Dec-2019,194.75,197.5,205.9,192.1, 192.15,194.35,199.18,41398,82.46,1015, 22884, 55.28
63MOONS, EQ, 30-Dec-2019,102.1,102.65,104.5,102.5, 103.25,103.0,103.27,91335,94.32,2620, 44033, 48.21
A2ZINFRA, EQ, 30-Dec-2019,7.7,7.9,7.9,7.45, 7.60,7.6,7.6,145453,11.05,293, 111151, 76.42
AARTIDRUGS, EQ, 30-Dec-2019,600.3,594.0,608.0,570.1, 578.90,575.15,581.98,39324,228.86,3218, 15099, 38.40
AARTIIND, EQ, 30-Dec-2019,835.1,837.0,840.0,828.0, 838.00,837.75,834.25,146492,1222.12,5074, 104143, 71.09
AARVEEDEN, EQ, 30-Dec-2019,14.25,14.4,14.4,13.5, 14.00,13.95,13.82,12687,1.75,95, 9997, 78.80
AAVAS, EQ, 30-Dec-2019,1854.5,1850.0,1935.0,1850.0, 1935.00,1918.6,1899.25,48586,922.77,4291, 25881, 53.27
ABAN, EQ, 30-Dec-2019,26.4,27.3,27.3,25.4, 25.65,25.85,25.87,82255,21.28,646, 55297, 67.23
ABBOTINDIA, EQ, 30-Dec-2019,13194.25,13250.1,13250.1,13150.0, 13199.00,13196.75,13189.8,3410,449.77,1489, 1927, 56.51
ABCAPITAL, EQ, 30-Dec-2019,99.5,99.2,103.85,98.8, 102.15,102.3,101.62,2934901,2982.45,25209, 969412, 33.03
ABFRL, EQ, 30-Dec-2019,232.8,233.4,233.4,225.3, 226.40,226.95,227.64,545034,1240.73,6489, 366868, 67.31
ABSLBANETF, EQ, 30-Dec-2019,323.61,324.16,324.16,324.16, 324.16,324.16,324.16,1,0.0,1, 1, 100.00
ABSLNN50ET, EQ, 30-Dec-2019,285.48,286.29,286.29,286.29, 286.29,286.29,286.29,181,0.52,1, 181, 100.00
