SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
20MICRONS, EQ, 11-Nov-2019,37.1,37.45,37.6,36.3, 36.60,36.65,36.89,25870,9.54,348, 16792, 64.91
21STCENMGM, EQ, 11-Nov-2019,14.0,14.0,14.0,14.0, 14.00,14.0,14.0,5,0.0,4, 5, 100.00
3IINFOTECH, EQ, 11-Nov-2019,1.95,2.0,2.0,1.95, 2.00,2.0,1.98,423913,8.4,2440, 284391, 67.09
3MINDIA, EQ, 11-Nov-2019,22392.9,22403.0,22649.9,22030.65, 22500.00,22504.2,22415.2,1572,352.37,726, 914, 58.14
3PLAND, EQ, 11-Nov-2019,6.3,6.3,6.3,6.3, 6.30,6.3,6.3,34,0.0,2, 34, 100.00
5PAISA, EQ, 11-Nov-2019,165.85,165.9,168.7,162.05, 163.50,163.8,164.8,15030,24.77,260, 12590, 83.77
63MOONS, EQ, 11-Nov-2019,115.85,116.2,119.0,114.95, 117.95,117.45,117.24,85190,99.88,1234, 37079, 43.53
A2ZINFRA, EQ, 11-Nov-2019,10.05,10.3,10.3,9.75, 10.05,10.05,10.13,180479,18.28,419, 158266, 87.69
AARTIDRUGS, EQ, 11-Nov-2019,518.85,526.95,531.0,510.0, 511.00,512.7,518.28,12945,67.09,739, 9095, 70.26
AARTIIND, EQ, 11-Nov-2019,812.2,812.3,820.0,807.4, 820.00,815.9,814.79,167913,1368.14,11274, 133642, 79.59
AARVEEDEN, EQ, 11-Nov-2019,14.05,14.1,14.1,13.55, 13.80,13.8,13.78,2900,0.4,40, 2695, 92.93
AAVAS, EQ, 11-Nov-2019,1564.2,1563.5,1564.0,1505.55, 1544.85,1540.45,1535.6,19868,305.09,3609, 10847, 54.60
ABB, EQ, 11-Nov-2019,1462.7,1460.0,1469.0,1445.7, 1454.00,1457.35,1455.0,43896,638.69,3990, 26572, 60.53
ABBOTINDIA, EQ, 11-Nov-2019,11502.95,11500.0,11775.0,11350.0, 11767.85,11698.85,11525.37,11988,1381.66,3130, 6629, 55.30
ABCAPITAL, EQ, 11-Nov-2019,86.85,87.35,88.4,85.15, 86.75,86.9,86.79,2390106,2074.26,15509, 981810, 41.08
ABFRL, EQ, 11-Nov-2019,204.6,205.1,206.9,200.35, 201.00,201.25,202.35,250141,506.16,9250, 140251, 56.07
ABSLBANETF, EQ, 11-Nov-2019,308.0,308.0,311.0,308.0, 311.00,311.0,309.08,36,0.11,3, 23, 63.89
ABSLNN50ET, EQ, 11-Nov-2019,288.74,286.01,286.01,286.01, 286.01,286.01,286.01,2,0.01,1, 2, 100.00
ACC, EQ, 11-Nov-2019,1506.4,1501.9,1518.0,1490.0, 1506.60,1504.45,1502.64,648957,9751.48,21969, 187417, 28.88
ACCELYA, EQ, 11-Nov-2019,964.8,964.0,981.0,952.95, 980.00,976.85,967.35,6140,59.4,906, 5043, 82.13
ACE, EQ, 11-Nov-2019,85.15,84.2,86.95,84.05, 86.55,86.1,85.53,54120,46.29,653, 40452, 74.75
ADANIENT, EQ, 11-Nov-2019,208.05,206.95,212.25,206.05, 210.80,210.85,209.85,2907157,6100.68,20360, 330667, 11.37
ADANIGAS, EQ, 11-Nov-2019,146.8,147.3,148.5,146.6, 148.40,148.0,147.76,616045,910.26,4331, 304919, 49.50
ADANIGREEN, EQ, 11-Nov-2019,86.7,86.8,95.25,85.2, 94.10,93.85,91.92,4135563,3801.5,19823, 1911565, 46.22
ADANIPORTS, EQ, 11-Nov-2019,386.15,386.15,389.15,382.5, 388.20,387.9,387.65,2300763,8918.94,34468, 1003975, 43.64
ADANIPOWER, EQ, 11-Nov-2019,68.7,68.45,68.5,66.6, 67.15,67.3,67.44,7633861,5148.2,22845, 1076544, 14.10
ADANITRANS, EQ, 11-Nov-2019,286.85,278.25,284.65,277.7, 278.25,279.4,280.22,198560,556.41,4421, 82648, 41.62
ADFFOODS, EQ, 11-Nov-2019,300.85,299.9,308.0,295.65, 302.00,300.75,302.92,45366,137.42,2592, 22582, 49.78
ADHUNIKIND, EQ, 11-Nov-2019,115.35,115.3,116.9,110.0, 115.45,115.65,115.38,59508,68.66,1169, 34240, 57.54
ADORWELD, EQ, 11-Nov-2019,312.8,312.4,319.2,312.0, 318.00,316.05,315.32,1154,3.64,81, 1000, 86.66
ADROITINFO, EQ, 11-Nov-2019,8.75,8.35,9.15,8.35, 9.00,9.0,8.8,1076,0.09,23, 760, 70.63
ADSL, EQ, 11-Nov-2019,15.0,15.05,16.45,14.6, 15.85,15.55,15.43,115101,17.76,280, 72750, 63.21
ADVANIHOTR, EQ, 11-Nov-2019,57.85,57.1,57.85,56.1, 57.85,57.2,57.09,1294,0.74,36, 885, 68.39
ADVENZYMES, EQ, 11-Nov-2019,178.1,178.65,180.8,178.0, 178.00,178.05,178.39,120252,214.51,2807, 77380, 64.35
AEGISCHEM, EQ, 11-Nov-2019,163.45,164.35,167.95,163.0, 164.25,164.4,164.47,369053,606.98,3501, 324885, 88.03
AFFLE, EQ, 11-Nov-2019,1395.75,1530.0,1530.0,1405.0, 1498.00,1482.75,1480.73,748480,11082.95,51760, 221208, 29.55
AGARIND, EQ, 11-Nov-2019,114.95,124.0,124.9,115.05, 116.85,116.15,116.96,1534,1.79,60, 1386, 90.35
AGRITECH, EQ, 11-Nov-2019,46.7,46.35,47.0,44.1, 45.65,45.75,46.23,5327,2.46,240, 3316, 62.25
AGROPHOS, EQ, 11-Nov-2019,120.8,121.0,122.0,121.0, 121.80,121.8,121.47,619135,752.06,34151, 202968, 32.78
AHLEAST, EQ, 11-Nov-2019,181.0,179.0,190.8,178.0, 186.95,181.2,182.5,212,0.39,69, 65, 30.66
AHLUCONT, EQ, 11-Nov-2019,300.75,295.0,298.65,295.0, 295.05,295.85,296.07,2134,6.32,123, 1438, 67.39
AHLWEST, EQ, 11-Nov-2019,270.0,275.0,293.05,268.8, 284.00,284.0,276.57,528,1.46,114, 292, 55.30
AIAENG, EQ, 11-Nov-2019,1686.0,1682.2,1730.0,1665.2, 1705.40,1718.0,1694.88,14257,241.64,4056, 10282, 72.12
AIONJSW, EQ, 11-Nov-2019,9.9,10.0,11.4,9.8, 10.05,10.05,10.03,111874,11.23,545, 91062, 81.40
AIRAN, EQ, 11-Nov-2019,11.25,11.65,11.65,10.8, 11.00,11.1,11.23,32571,3.66,134, 24854, 76.31
AJANTPHARM, EQ, 11-Nov-2019,988.8,985.05,1000.0,980.05, 987.00,987.2,993.17,62272,618.47,7692, 29423, 47.25
AJMERA, EQ, 11-Nov-2019,130.35,129.7,129.7,125.0, 125.25,125.45,126.25,39781,50.22,957, 19782, 49.73
AKASH, EQ, 11-Nov-2019,63.2,63.2,64.0,61.5, 64.00,64.0,62.99,2010,1.27,10, 10, 0.50
AKSHARCHEM, EQ, 11-Nov-2019,214.0,210.4,225.0,210.4, 221.00,223.1,216.71,3489,7.56,273, 1812, 51.93
AKSHOPTFBR, EQ, 11-Nov-2019,7.5,7.5,7.5,7.15, 7.15,7.15,7.23,193178,13.96,379, 127335, 65.92
AKZOINDIA, EQ, 11-Nov-2019,2152.7,2088.1,2088.1,1958.0, 1962.00,1969.15,1991.24,50404,1003.67,7247, 26482, 52.54
ALANKIT, EQ, 11-Nov-2019,14.85,14.55,14.9,14.15, 14.15,14.2,14.46,36559,5.28,262, 28138, 76.97
ALBERTDAVD, EQ, 11-Nov-2019,402.4,402.0,413.5,402.0, 406.90,405.45,408.48,2714,11.09,209, 2059, 75.87
ALBK, EQ, 11-Nov-2019,25.95,25.3,26.5,25.0, 25.85,25.95,25.62,1042575,267.12,3415, 300454, 28.82
ALEMBICLTD, EQ, 11-Nov-2019,49.95,50.2,52.75,48.75, 51.60,51.5,51.39,353528,181.66,3056, 81890, 23.16
ALICON, EQ, 11-Nov-2019,385.85,380.0,393.95,380.0, 389.35,383.65,383.62,870,3.34,65, 561, 64.48
ALKALI, EQ, 11-Nov-2019,52.45,47.05,47.05,43.0, 44.00,44.15,44.44,85345,37.93,1044, 47011, 55.08
ALKEM, EQ, 11-Nov-2019,2034.25,2025.9,2068.75,1940.8, 1991.00,1972.0,2023.8,161949,3277.52,13265, 53232, 32.87
ALKYLAMINE, EQ, 11-Nov-2019,1015.2,1021.0,1044.9,1012.95, 1035.00,1039.65,1027.41,37395,384.2,3121, 21662, 57.93
ALLCARGO, EQ, 11-Nov-2019,101.75,98.0,99.45,95.15, 97.75,97.55,97.85,223350,218.55,3130, 137286, 61.47
ALLSEC, EQ, 11-Nov-2019,283.35,285.05,287.95,276.1, 282.20,282.2,282.16,1860,5.25,113, 1173, 63.06
ALMONDZ, EQ, 11-Nov-2019,9.6,9.6,9.6,9.6, 9.60,9.6,9.6,47,0.0,2, 47, 100.00
ALOKTEXT, EQ, 11-Nov-2019,1.8,1.85,1.85,1.85, 1.85,1.85,1.85,320654,5.93,234, 320654, 100.00
ALPA, EQ, 11-Nov-2019,17.5,17.5,18.2,17.15, 18.05,18.0,17.85,29043,5.19,153, 21201, 73.00
ALPHAGEO, EQ, 11-Nov-2019,184.6,185.25,191.9,184.95, 185.00,186.15,187.75,9895,18.58,303, 8660, 87.52
AMARAJABAT, EQ, 11-Nov-2019,654.2,678.0,729.75,670.1, 719.60,717.4,704.21,5554593,39115.74,114258, 504975, 9.09
AMBER, EQ, 11-Nov-2019,976.05,982.0,1017.0,982.0, 1000.00,998.8,1000.34,47134,471.5,5486, 21999, 46.67
AMBIKCO, EQ, 11-Nov-2019,864.3,865.05,900.0,865.05, 887.00,889.6,889.93,3933,35.0,576, 2388, 60.72
AMBUJACEM, EQ, 11-Nov-2019,202.25,200.0,201.95,198.75, 200.20,200.15,200.25,1436622,2876.77,20268, 597048, 41.56
AMDIND, EQ, 11-Nov-2019,19.75,19.0,21.95,19.0, 21.40,21.5,21.12,51051,10.78,361, 32470, 63.60
AMJLAND, EQ, 11-Nov-2019,18.95,19.0,19.75,18.1, 19.00,18.6,18.79,19012,3.57,94, 14273, 75.07
AMRUTANJAN, EQ, 11-Nov-2019,492.0,491.9,522.0,488.4, 517.00,513.15,508.21,88488,449.7,5755, 31886, 36.03
ANANTRAJ, EQ, 11-Nov-2019,33.05,33.35,33.35,33.0, 33.20,33.05,33.05,79628,26.32,272, 66845, 83.95
ANDHRABANK, EQ, 11-Nov-2019,18.05,18.1,18.2,17.8, 17.85,17.9,17.96,534843,96.04,1740, 309660, 57.90
ANDHRSUGAR, EQ, 11-Nov-2019,290.1,290.75,304.0,290.0, 301.90,300.5,298.18,52396,156.23,2439, 29613, 56.52
ANSALAPI, EQ, 11-Nov-2019,5.55,5.8,5.8,5.55, 5.80,5.8,5.77,282626,16.31,375, 154106, 54.53
