SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
20MICRONS, EQ, 17-Oct-2019,37.85,38.0,39.0,37.6, 38.00,37.95,38.03,15825,6.02,219, 6384, 40.34
21STCENMGM, EQ, 17-Oct-2019,12.65,12.65,12.65,12.65, 12.65,12.65,12.65,10,0.0,1, 10, 100.00
3IINFOTECH, EQ, 17-Oct-2019,2.0,2.05,2.2,1.95, 2.10,2.1,2.05,2457795,50.29,792, 1236159, 50.30
3MINDIA, EQ, 17-Oct-2019,20610.25,20624.0,22991.0,20624.0, 22940.00,22882.1,22371.98,18684,4179.98,6602, 10031, 53.69
3PLAND, EQ, 17-Oct-2019,5.9,6.15,6.15,5.9, 6.15,6.15,6.03,311,0.02,11, 310, 99.68
5PAISA, EQ, 17-Oct-2019,175.65,172.5,179.0,172.5, 175.00,175.1,175.47,6092,10.69,285, 4000, 65.66
63MOONS, EQ, 17-Oct-2019,114.8,115.55,116.7,113.35, 114.60,114.9,114.97,61171,70.33,1158, 29972, 49.00
A2ZINFRA, EQ, 17-Oct-2019,10.0,10.0,10.45,9.75, 10.25,10.15,10.16,198462,20.16,384, 104392, 52.60
AARTIDRUGS, EQ, 17-Oct-2019,458.9,456.15,457.6,447.1, 448.00,448.85,451.46,7574,34.19,668, 4608, 60.84
AARTIIND, EQ, 17-Oct-2019,762.95,767.95,767.95,750.4, 757.45,756.45,754.81,264886,1999.4,17242, 225627, 85.18
AARVEEDEN, EQ, 17-Oct-2019,14.25,14.55,14.8,14.0, 14.05,14.45,14.35,2525,0.36,58, 2205, 87.33
AAVAS, EQ, 17-Oct-2019,1677.5,1683.4,1700.0,1657.5, 1686.00,1693.3,1682.92,9187,154.61,1950, 4946, 53.84
ABB, EQ, 17-Oct-2019,1519.5,1521.8,1535.0,1507.0, 1516.00,1519.3,1521.95,50738,772.21,4290, 23720, 46.75
ABBOTINDIA, EQ, 17-Oct-2019,10949.35,10930.05,11000.0,10874.95, 10970.00,10984.05,10981.89,9449,1037.68,997, 7381, 78.11
ABCAPITAL, EQ, 17-Oct-2019,78.05,78.25,78.4,75.5, 76.20,76.4,76.44,2022274,1545.92,29597, 1295017, 64.04
ABFRL, EQ, 17-Oct-2019,197.9,197.9,205.0,193.3, 202.00,203.5,200.32,467704,936.9,10506, 274845, 58.76
ABSLNN50ET, EQ, 17-Oct-2019,273.0,273.15,276.03,273.15, 276.03,276.03,274.38,236,0.65,5, 236, 100.00
ACC, EQ, 17-Oct-2019,1521.45,1525.0,1538.9,1507.2, 1535.45,1535.1,1527.99,1074461,16417.66,34943, 241326, 22.46
ACCELYA, EQ, 17-Oct-2019,819.85,819.0,828.8,810.0, 826.00,822.9,818.5,983,8.05,165, 755, 76.81
ACE, EQ, 17-Oct-2019,78.0,78.25,79.65,77.2, 78.00,78.45,78.38,147950,115.96,1871, 58699, 39.67
ADANIENT, EQ, 17-Oct-2019,160.15,159.8,165.0,157.65, 163.00,162.55,161.14,6523046,10511.38,31817, 993064, 15.22
ADANIGAS, EQ, 17-Oct-2019,148.4,146.2,153.55,146.05, 148.90,148.8,149.84,1786496,2676.91,16770, 557184, 31.19
ADANIGREEN, EQ, 17-Oct-2019,80.25,80.45,92.9,80.25, 88.15,88.85,88.21,8398359,7408.56,50257, 2016223, 24.01
ADANIPORTS, EQ, 17-Oct-2019,410.0,409.1,411.2,404.6, 407.95,409.15,407.92,2478950,10112.02,41861, 925341, 37.33
ADANIPOWER, EQ, 17-Oct-2019,61.15,61.2,62.6,60.75, 62.30,62.25,61.65,4935055,3042.56,13534, 1043846, 21.15
ADANITRANS, EQ, 17-Oct-2019,234.5,233.9,241.4,231.0, 232.05,232.95,236.32,205961,486.74,4128, 82776, 40.19
ADFFOODS, EQ, 17-Oct-2019,256.5,255.65,262.0,255.65, 261.50,260.05,259.04,12473,32.31,1055, 3750, 30.06
ADHUNIKIND, EQ, 17-Oct-2019,115.5,115.9,122.5,114.45, 120.80,120.3,116.58,80055,93.33,884, 49492, 61.82
ADLABS, EQ, 17-Oct-2019,2.1,2.1,2.1,2.0, 2.00,2.0,2.01,69605,1.4,121, 56014, 80.47
ADORWELD, EQ, 17-Oct-2019,296.15,306.0,306.0,296.8, 298.45,299.3,299.03,1606,4.8,193, 701, 43.65
ADSL, EQ, 17-Oct-2019,13.35,13.1,14.0,13.1, 13.15,13.2,13.27,9673,1.28,57, 7609, 78.66
ADVANIHOTR, EQ, 17-Oct-2019,53.5,53.9,53.95,52.0, 52.80,52.4,52.57,6686,3.52,119, 4292, 64.19
ADVENZYMES, EQ, 17-Oct-2019,146.95,147.7,152.9,147.0, 151.55,151.1,151.02,63277,95.56,1937, 28856, 45.60
AEGISCHEM, EQ, 17-Oct-2019,163.4,164.05,168.05,163.05, 165.20,164.25,165.81,119711,198.49,3750, 77181, 64.47
AFFLE, EQ, 17-Oct-2019,1178.0,1181.1,1197.0,1140.0, 1150.00,1151.15,1167.09,87417,1020.24,5855, 29006, 33.18
AGARIND, EQ, 17-Oct-2019,113.25,113.55,116.1,113.05, 115.50,114.95,114.87,28839,33.13,75, 8488, 29.43
AGLSL, EQ, 17-Oct-2019,49.2,49.95,50.1,48.1, 50.00,49.15,48.84,968,0.47,62, 563, 58.16
AGRITECH, EQ, 17-Oct-2019,43.95,43.45,45.9,43.4, 45.75,45.2,44.76,6305,2.82,114, 3833, 60.79
AGROPHOS, EQ, 17-Oct-2019,110.25,110.25,110.7,110.2, 110.60,110.6,110.47,273520,302.17,13997, 99538, 36.39
AHLEAST, EQ, 17-Oct-2019,181.0,184.25,189.6,179.0, 180.20,180.2,180.11,626,1.13,136, 425, 67.89
