SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
20MICRONS, EQ, 25-Nov-2019,33.1,33.95,34.2,33.25, 34.20,33.75,33.66,18473,6.22,262, 14613, 79.10
21STCENMGM, EQ, 25-Nov-2019,13.6,13.35,13.35,13.35, 13.35,13.35,13.35,510,0.07,5, 510, 100.00
3IINFOTECH, EQ, 25-Nov-2019,1.95,2.0,2.0,1.95, 2.00,2.0,1.98,812703,16.08,444, 424243, 52.20
3MINDIA, EQ, 25-Nov-2019,22415.3,22417.55,22737.8,22415.0, 22700.00,22687.1,22656.19,1391,315.15,556, 1103, 79.30
3PLAND, EQ, 25-Nov-2019,6.5,6.5,6.5,6.2, 6.30,6.3,6.29,1306,0.08,5, 1266, 96.94
5PAISA, EQ, 25-Nov-2019,153.45,150.15,159.5,150.15, 158.85,157.4,156.37,12045,18.83,381, 4752, 39.45
63MOONS, EQ, 25-Nov-2019,115.5,115.8,115.8,109.0, 111.05,110.9,112.12,160665,180.14,2808, 90434, 56.29
A2ZINFRA, EQ, 25-Nov-2019,9.15,9.15,9.2,8.95, 9.00,9.0,9.04,175562,15.87,374, 90765, 51.70
AARTIDRUGS, EQ, 25-Nov-2019,520.1,521.0,530.1,519.95, 528.45,527.7,525.05,9505,49.91,1300, 6025, 63.39
AARTIIND, EQ, 25-Nov-2019,825.55,830.0,833.75,810.0, 817.00,816.65,817.85,56560,462.58,5834, 31342, 55.41
AARVEEDEN, EQ, 25-Nov-2019,12.85,13.0,13.3,12.5, 12.55,12.75,12.85,8586,1.1,62, 6557, 76.37
AAVAS, EQ, 25-Nov-2019,1723.25,1740.0,1744.85,1672.0, 1706.00,1709.95,1716.56,53382,916.33,6604, 37046, 69.40
ABB, EQ, 25-Nov-2019,1410.05,1405.1,1424.9,1403.0, 1406.00,1407.5,1412.47,47822,675.47,3272, 30941, 64.70
ABBOTINDIA, EQ, 25-Nov-2019,12573.4,12670.0,12807.95,12614.0, 12699.00,12696.85,12753.42,7765,990.3,2564, 4356, 56.10
ABCAPITAL, EQ, 25-Nov-2019,100.15,100.95,113.9,100.2, 111.05,110.7,109.17,30521473,33319.87,196785, 7968861, 26.11
ABFRL, EQ, 25-Nov-2019,219.45,218.0,221.9,212.8, 217.00,218.7,218.73,626138,1369.54,16851, 243542, 38.90
ACC, EQ, 25-Nov-2019,1469.9,1477.8,1492.1,1473.1, 1476.30,1476.95,1480.74,668905,9904.76,19528, 267649, 40.01
ACCELYA, EQ, 25-Nov-2019,946.65,970.0,970.0,940.0, 953.00,950.4,948.77,12761,121.07,1073, 6091, 47.73
ACE, EQ, 25-Nov-2019,75.85,75.85,79.35,75.55, 76.80,76.3,77.38,85620,66.25,1162, 43963, 51.35
ADANIENT, EQ, 25-Nov-2019,203.45,201.9,216.25,201.6, 215.50,215.2,211.2,6805228,14372.42,39031, 710935, 10.45
ADANIGAS, EQ, 25-Nov-2019,146.25,146.25,148.2,146.25, 147.40,147.3,147.5,619423,913.66,4041, 275511, 44.48
ADANIGREEN, EQ, 25-Nov-2019,106.7,107.7,117.3,106.7, 113.80,114.3,113.59,6899872,7837.22,48332, 1550313, 22.47
ADANIPORTS, EQ, 25-Nov-2019,371.45,372.0,379.2,371.5, 374.95,374.7,376.07,3050808,11473.06,39401, 793469, 26.01
ADANIPOWER, EQ, 25-Nov-2019,60.5,60.5,62.8,60.25, 62.65,62.4,61.7,8246971,5088.79,18419, 1546760, 18.76
ADANITRANS, EQ, 25-Nov-2019,263.35,264.9,269.3,261.05, 263.05,263.75,263.86,202027,533.07,4655, 104332, 51.64
ADFFOODS, EQ, 25-Nov-2019,292.75,294.9,297.65,290.3, 291.00,291.65,292.9,12747,37.34,424, 7426, 58.26
ADHUNIKIND, EQ, 25-Nov-2019,113.15,113.25,114.45,111.3, 112.65,112.35,112.85,51938,58.61,802, 35914, 69.15
ADORWELD, EQ, 25-Nov-2019,310.55,315.5,316.0,310.4, 311.00,311.9,312.46,8575,26.79,351, 5865, 68.40
ADSL, EQ, 25-Nov-2019,16.8,16.55,18.25,16.55, 18.00,18.05,17.64,173745,30.65,788, 111545, 64.20
ADVANIHOTR, EQ, 25-Nov-2019,55.1,55.2,55.95,54.05, 55.50,55.25,55.02,4847,2.67,71, 3794, 78.28
ADVENZYMES, EQ, 25-Nov-2019,167.95,167.95,176.0,167.85, 168.80,168.85,170.44,95932,163.51,2757, 35743, 37.26
AEGISCHEM, EQ, 25-Nov-2019,184.8,183.15,192.9,180.0, 192.90,189.4,185.45,193859,359.52,4431, 90926, 46.90
AFFLE, EQ, 25-Nov-2019,1689.15,1670.75,1693.0,1567.0, 1576.25,1584.25,1625.4,167505,2722.62,11573, 78793, 47.04
AGARIND, EQ, 25-Nov-2019,108.45,105.1,113.4,105.1, 106.50,108.8,109.08,112,0.12,18, 44, 39.29
AGRITECH, EQ, 25-Nov-2019,45.0,45.9,45.9,43.25, 44.40,44.35,44.86,6004,2.69,209, 5061, 84.29
AGROPHOS, EQ, 25-Nov-2019,127.8,128.15,129.4,128.15, 129.25,129.2,128.76,828833,1067.21,7076, 226121, 27.28
AHLEAST, EQ, 25-Nov-2019,174.75,172.6,183.0,172.6, 182.85,181.05,176.54,649,1.15,66, 509, 78.43
AHLUCONT, EQ, 25-Nov-2019,270.65,270.7,279.1,270.65, 273.00,274.5,274.17,1617,4.43,198, 1106, 68.40
AHLWEST, EQ, 25-Nov-2019,338.15,315.35,335.05,315.35, 321.35,323.75,325.27,848,2.76,108, 461, 54.36
