SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
INDOTHAI, EQ, 18-Oct-2019,22.45,26.75,26.75,21.3,22.9,22.85,22.9,3956,0.91,118, 2973, 75.15
INDOWIND, EQ, 18-Oct-2019,3.0,2.95,3.05,2.85,3.0,2.9,2.96,20424,0.6,51, 16384, 80.22
INDRAMEDCO, EQ, 18-Oct-2019,35.5,35.6,37.95,35.5,37.85,37.6,36.91,109309,40.34,1048, 82612, 75.58
INDSWFTLTD, EQ, 18-Oct-2019,4.7,4.55,4.7,4.5,4.7,4.5,4.5,13601,0.61,18, 13301, 97.79
INDTERRAIN, EQ, 18-Oct-2019,71.9,73.3,75.4,71.3,72.85,72.85,73.9,3046,2.25,244, 2535, 83.22
INDUSINDBK, EQ, 18-Oct-2019,1340.1,1332.0,1361.7,1317.1,1338.5,1342.65,1340.42,5604223,75120.09,126249, 1404930, 25.07
INEOSSTYRO, EQ, 18-Oct-2019,648.9,645.9,648.55,635.1,640.0,641.05,639.44,1317,8.42,172, 807, 61.28
INFIBEAM, EQ, 18-Oct-2019,41.2,40.35,42.45,40.35,42.25,42.15,41.86,1451376,607.53,4249, 529108, 36.46
INFOBEAN, EQ, 18-Oct-2019,69.25,69.25,71.8,65.7,67.0,66.55,69.06,11720,8.09,169, 8044, 68.63
INFRABEES, EQ, 18-Oct-2019,335.62,339.0,341.0,335.31,338.0,338.0,338.52,864,2.92,14, 863, 99.88
INFRATEL, EQ, 18-Oct-2019,256.95,256.8,263.0,254.0,261.55,261.6,260.02,3004253,7811.55,71277, 1706223, 56.79
INFY, EQ, 18-Oct-2019,769.5,763.8,773.8,760.0,767.5,767.85,767.62,10037200,77047.59,187743, 5535843, 55.15
INGERRAND, EQ, 18-Oct-2019,611.7,612.6,621.85,609.8,612.5,611.45,614.93,7985,49.1,460, 3405, 42.64
INOXLEISUR, EQ, 18-Oct-2019,339.5,340.0,358.9,338.5,354.1,351.85,348.2,442056,1539.26,10565, 323394, 73.16
INOXWIND, EQ, 18-Oct-2019,36.45,36.0,37.5,33.85,34.5,34.8,35.17,151777,53.39,1762, 60291, 39.72
INSECTICID, EQ, 18-Oct-2019,554.75,549.0,568.0,549.0,566.9,558.25,559.97,2729,15.28,309, 1813, 66.43
INSPIRISYS, EQ, 18-Oct-2019,45.25,46.4,49.95,44.2,46.5,46.15,46.1,1663,0.77,106, 1097, 65.97
INTELLECT, EQ, 18-Oct-2019,187.55,188.05,195.4,186.25,190.4,191.65,192.03,257611,494.68,4466, 101423, 39.37
INTENTECH, EQ, 18-Oct-2019,27.85,28.7,30.0,27.9,29.6,29.55,29.38,14959,4.39,110, 10683, 71.42
INVENTURE, EQ, 18-Oct-2019,14.1,14.0,14.0,13.65,14.0,14.0,13.76,32707,4.5,93, 8241, 25.20
IOB, EQ, 18-Oct-2019,9.4,9.45,9.8,9.4,9.75,9.7,9.64,625551,60.3,1373, 301840, 48.25
IOC, EQ, 18-Oct-2019,146.4,146.1,148.2,144.75,145.55,145.6,146.58,13907954,20385.77,72385, 7280799, 52.35
IOLCP, EQ, 18-Oct-2019,175.9,175.9,176.9,171.2,172.5,172.1,173.09,201128,348.14,6227, 128375, 63.83
IPAPPM, EQ, 18-Oct-2019,334.15,336.05,342.55,325.0,325.2,327.85,334.81,12109,40.54,937, 6925, 57.19
IPCALAB, EQ, 18-Oct-2019,913.2,915.0,954.0,915.0,949.7,946.7,936.24,168190,1574.66,10600, 124511, 74.03
IRB, EQ, 18-Oct-2019,66.45,66.75,70.9,65.85,66.5,67.25,68.34,1724379,1178.42,17429, 795997, 46.16
IRCON, EQ, 18-Oct-2019,367.95,368.0,384.45,366.05,381.8,381.15,379.69,96180,365.19,4030, 56974, 59.24
IRCTC, EQ, 18-Oct-2019,724.3,725.0,789.9,716.05,778.0,779.15,767.61,9733230,74712.91,235191, 913567, 9.39
ISEC, EQ, 18-Oct-2019,282.9,282.1,296.6,277.2,294.5,285.5,286.08,432300,1236.71,10864, 315870, 73.07
ISMTLTD, EQ, 18-Oct-2019,3.9,4.1,4.1,3.8,4.0,3.95,3.95,12866,0.51,38, 12118, 94.19
ITC, EQ, 18-Oct-2019,245.85,246.0,247.8,245.1,246.35,246.5,246.55,12833554,31641.47,103099, 8972562, 69.91
ITDC, EQ, 18-Oct-2019,351.55,343.55,368.0,341.55,348.7,350.75,356.13,543653,1936.1,12585, 83613, 15.38
ITDCEM, EQ, 18-Oct-2019,36.55,36.75,40.2,36.6,40.2,40.2,39.46,294849,116.34,1875, 245784, 83.36
ITI, EQ, 18-Oct-2019,81.1,81.0,84.4,81.0,82.75,82.95,83.0,1116293,926.51,7171, 263027, 23.56
IVC, EQ, 18-Oct-2019,3.75,3.9,3.95,3.5,3.95,3.85,3.79,96216,3.65,180, 59078, 61.40
IVP, EQ, 18-Oct-2019,58.95,53.3,64.8,53.3,64.75,64.75,63.41,1412,0.9,249, 1351, 95.68
IVZINGOLD, EQ, 18-Oct-2019,3535.0,3461.0,3525.0,3461.0,3525.0,3525.0,3493.0,2,0.07,2, 1, 50.00
IZMO, EQ, 18-Oct-2019,26.85,27.55,28.15,26.55,27.95,28.0,27.65,10579,2.93,139, 9752, 92.18
J&KBANK, EQ, 18-Oct-2019,29.6,29.8,32.5,29.6,31.6,31.55,31.59,1245450,393.43,5420, 450148, 36.14
JAGRAN, EQ, 18-Oct-2019,58.5,58.5,59.6,58.4,58.95,58.95,58.99,205439,121.19,2069, 178592, 86.93
JAGSNPHARM, EQ, 18-Oct-2019,23.35,22.95,24.6,22.95,24.5,24.1,24.0,9612,2.31,110, 7733, 80.45
JAIBALAJI, EQ, 18-Oct-2019,18.5,17.8,19.25,17.8,18.8,18.8,18.8,2933,0.55,22, 2122, 72.35
JAICORPLTD, EQ, 18-Oct-2019,81.45,82.1,84.5,81.4,82.9,83.1,83.08,1198760,995.9,8251, 229440, 19.14
JAMNAAUTO, EQ, 18-Oct-2019,37.5,37.8,41.4,37.3,40.75,40.85,39.42,1498226,590.56,6079, 824520, 55.03
JAYAGROGN, EQ, 18-Oct-2019,137.3,136.3,142.4,133.7,140.6,141.25,138.2,12414,17.16,436, 7672, 61.80
JAYBARMARU, EQ, 18-Oct-2019,196.25,188.0,193.3,183.0,188.0,188.75,188.8,178033,336.13,5394, 55843, 31.37
JAYNECOIND, EQ, 18-Oct-2019,3.4,3.25,3.55,3.25,3.55,3.55,3.41,58148,1.98,97, 47358, 81.44
JAYSREETEA, EQ, 18-Oct-2019,48.2,48.75,50.0,48.0,48.8,49.1,49.09,96633,47.44,796, 33763, 34.94
