SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
20MICRONS, EQ, 17-Sep-2024,302.7,302.7,302.7,294.7,294.8,295.4,296.88,127357,378.1,7339, 73030, 57.34
360ONE, EQ, 17-Sep-2024,1104.25,1104.9,1109.0,1076.0,1081.0,1085.5,1081.71,245008,2650.28,15560, 167246, 68.26
3IINFOLTD, EQ, 17-Sep-2024,33.46,33.46,33.55,33.01,33.1,33.11,33.22,404183,134.25,3081, 218402, 54.04
3MINDIA, EQ, 17-Sep-2024,35807.3,36128.0,36128.0,35594.5,35679.6,35726.6,35782.18,3326,1190.12,1870, 1136, 34.16
5PAISA, EQ, 17-Sep-2024,542.7,548.7,554.85,537.0,548.0,548.3,546.23,188519,1029.75,13227, 64403, 34.16
63MOONS, EQ, 17-Sep-2024,395.05,390.0,395.0,380.55,384.5,386.9,386.5,151249,584.58,5866, 87623, 57.93
AAATECH, EQ, 17-Sep-2024,132.55,131.95,134.48,130.0,133.5,133.0,132.89,27900,37.08,904, 15523, 55.64
AADHARHFC, EQ, 17-Sep-2024,466.6,467.75,470.15,453.75,455.6,455.5,462.57,842245,3895.99,22334, 433401, 51.46
AARON, EQ, 17-Sep-2024,270.4,270.4,279.0,270.0,276.55,274.05,274.33,11405,31.29,1510, 3496, 30.65
AARTECH, EQ, 17-Sep-2024,80.28,82.77,82.77,79.0,79.3,80.17,80.91,146641,118.65,2172, 75032, 51.17
AARTIDRUGS, EQ, 17-Sep-2024,529.7,532.5,537.4,528.0,529.6,529.95,530.86,136210,723.08,7900, 57903, 42.51
AARTIIND, EQ, 17-Sep-2024,572.0,573.95,573.95,560.4,564.45,563.6,563.79,1714367,9665.5,58042, 862302, 50.30
AARTIPHARM, EQ, 17-Sep-2024,676.9,676.95,679.65,660.35,664.9,664.0,667.94,118887,794.09,6377, 59325, 49.90
AARTISURF, EQ, 17-Sep-2024,767.6,806.95,912.0,806.9,903.8,900.35,850.24,1308069,11121.72,57587, 264134, 20.19
AARVI, EQ, 17-Sep-2024,144.75,144.25,147.96,143.21,145.64,145.52,145.69,10934,15.93,573, 4594, 42.02
AAVAS, EQ, 17-Sep-2024,1802.9,1810.0,1837.0,1781.0,1809.0,1827.85,1813.32,154298,2797.91,23245, 55893, 36.22
ABAN, EQ, 17-Sep-2024,77.59,77.61,78.6,75.2,75.85,75.76,76.72,104936,80.51,2219, 71053, 67.71
