SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
20MICRONS, EQ, 04-Jul-2025,225.5,224.15,231.0,219.88,227.5,228.62,224.08,175606,393.5,3462, 77748, 44.27
21STCENMGM, EQ, 04-Jul-2025,59.91,61.1,61.1,61.1,61.1,61.1,61.1,994,0.61,18, 993, 99.90
360ONE, EQ, 04-Jul-2025,1226.6,1226.6,1253.9,1192.3,1242.0,1245.4,1232.61,1368232,16865.01,62185, 719948, 52.62
3IINFOLTD, EQ, 04-Jul-2025,24.48,24.58,24.66,24.21,24.48,24.39,24.37,556531,135.61,1742, 341775, 61.41
3MINDIA, EQ, 04-Jul-2025,28720.0,28800.0,29445.0,28720.0,28900.0,28945.0,29110.18,8344,2428.95,4169, 4512, 54.07
3PLAND, EQ, 04-Jul-2025,50.59,51.0,52.4,50.4,50.75,50.74,51.23,5493,2.81,134, 4230, 77.01
5PAISA, EQ, 04-Jul-2025,417.25,417.5,420.7,409.8,416.0,413.6,416.47,35568,148.13,2781, 14451, 40.63
63MOONS, EQ, 04-Jul-2025,1024.0,1034.0,1048.3,1009.1,1015.0,1019.6,1027.42,260465,2676.08,11010, 114538, 43.97
AAATECH, EQ, 04-Jul-2025,82.72,83.11,83.15,81.95,82.95,82.34,82.52,12880,10.63,425, 8403, 65.24
AADHARHFC, EQ, 04-Jul-2025,463.65,464.95,468.5,453.65,459.05,460.25,462.49,224492,1038.26,9120, 99319, 44.24
AARON, EQ, 04-Jul-2025,390.75,393.95,393.95,388.55,391.85,391.55,391.34,4453,17.43,263, 2365, 53.11
AARTECH, EQ, 04-Jul-2025,65.74,65.94,69.02,65.71,69.02,68.94,68.59,231975,159.11,1218, 72385, 31.20
