SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
20MICRONS, EQ, 14-Nov-2019,36.4,36.6,36.85,35.8,36.0,35.9,36.1,24275,8.76,566, 19002, 78.28
21STCENMGM, EQ, 14-Nov-2019,13.95,13.7,13.95,13.7,13.95,13.95,13.92,1007,0.14,11, 1007, 100.00
3IINFOTECH, EQ, 14-Nov-2019,1.9,1.95,1.95,1.9,1.95,1.9,1.91,629699,12.03,434, 491985, 78.13
3MINDIA, EQ, 14-Nov-2019,22258.2,22160.0,22464.0,22160.0,22165.05,22269.55,22327.22,1460,325.98,619, 718, 49.18
3PLAND, EQ, 14-Nov-2019,6.55,6.25,6.45,6.25,6.45,6.45,6.3,55,0.0,2, 55, 100.00
5PAISA, EQ, 14-Nov-2019,156.35,156.35,157.15,149.0,156.8,155.3,156.03,6849,10.69,198, 6134, 89.56
63MOONS, EQ, 14-Nov-2019,114.05,114.05,117.0,113.1,113.85,113.7,114.62,122789,140.75,1787, 56631, 46.12
A2ZINFRA, EQ, 14-Nov-2019,9.95,10.15,10.15,9.8,9.85,9.8,9.89,246671,24.41,321, 218964, 88.77
AARTIDRUGS, EQ, 14-Nov-2019,528.2,522.0,533.0,519.5,530.0,527.75,525.99,9945,52.31,1056, 6551, 65.87
AARTIIND, EQ, 14-Nov-2019,814.45,807.3,809.95,791.1,799.0,799.0,803.69,139999,1125.15,4778, 113559, 81.11
AARVEEDEN, EQ, 14-Nov-2019,14.2,13.7,13.8,12.6,13.15,13.05,13.16,15192,2.0,182, 10202, 67.15
AAVAS, EQ, 14-Nov-2019,1528.45,1528.0,1615.0,1512.0,1615.0,1596.15,1572.81,54799,861.89,3924, 27917, 50.94
ABB, EQ, 14-Nov-2019,1497.65,1495.0,1495.0,1465.0,1465.0,1468.9,1477.2,197909,2923.5,5384, 170655, 86.23
ABBOTINDIA, EQ, 14-Nov-2019,11794.6,11899.0,12293.1,11899.0,12035.0,12043.25,12065.05,32851,3963.49,5711, 19705, 59.98
ABCAPITAL, EQ, 14-Nov-2019,83.4,83.0,83.85,79.0,80.15,80.25,80.78,2579465,2083.78,16745, 1443369, 55.96
ABFRL, EQ, 14-Nov-2019,210.4,211.0,211.9,204.75,210.0,208.0,206.67,702009,1450.83,7263, 474550, 67.60
ABSLBANETF, EQ, 14-Nov-2019,309.0,324.9,324.9,324.9,324.9,324.9,324.9,5,0.02,1, 5, 100.00
ABSLNN50ET, EQ, 14-Nov-2019,287.96,286.7,286.7,283.95,283.95,283.95,284.23,138,0.39,6, 137, 99.28
ACC, EQ, 14-Nov-2019,1494.0,1490.0,1508.6,1473.55,1485.05,1486.9,1486.66,737571,10965.2,22494, 196426, 26.63
ACCELYA, EQ, 14-Nov-2019,983.2,970.0,1124.9,966.65,1110.0,1099.0,1055.07,42007,443.2,4429, 27022, 64.33
ACE, EQ, 14-Nov-2019,86.35,86.5,87.45,84.0,86.25,86.15,86.03,133715,115.03,1164, 96769, 72.37
ADANIENT, EQ, 14-Nov-2019,198.2,196.25,203.15,194.05,201.6,202.3,200.54,4141184,8304.55,28224, 351910, 8.50
ADANIGAS, EQ, 14-Nov-2019,148.4,148.9,148.9,147.15,147.45,147.4,147.63,546430,806.67,3079, 299068, 54.73
ADANIGREEN, EQ, 14-Nov-2019,96.0,96.7,98.5,93.5,95.2,95.05,95.36,1611104,1536.3,12218, 583214, 36.20
ADANIPORTS, EQ, 14-Nov-2019,370.8,371.9,374.1,365.85,368.2,369.1,370.13,2662084,9853.23,38410, 1257562, 47.24
ADANIPOWER, EQ, 14-Nov-2019,63.35,62.0,63.3,59.8,61.8,61.8,61.43,22541888,13847.65,51505, 2459422, 10.91
ADANITRANS, EQ, 14-Nov-2019,274.5,275.0,276.25,268.25,270.7,271.15,271.33,214175,581.12,5453, 102228, 47.73
ADFFOODS, EQ, 14-Nov-2019,299.9,298.0,301.9,287.5,299.45,298.2,295.73,69480,205.47,1404, 38198, 54.98
ADHUNIKIND, EQ, 14-Nov-2019,122.5,122.6,124.6,98.0,104.0,99.85,109.98,129124,142.02,2055, 51239, 39.68
ADORWELD, EQ, 14-Nov-2019,339.35,342.85,342.85,319.0,325.95,322.05,324.11,7182,23.28,403, 3149, 43.85
ADROITINFO, EQ, 14-Nov-2019,9.3,9.4,9.75,8.85,9.75,9.75,9.54,4533,0.43,27, 4480, 98.83
ADSL, EQ, 14-Nov-2019,16.3,16.35,18.5,16.35,17.25,17.3,17.67,247336,43.71,670, 124502, 50.34
ADVANIHOTR, EQ, 14-Nov-2019,57.15,57.9,57.95,56.0,56.5,56.5,56.32,1883,1.06,50, 1273, 67.60
ADVENZYMES, EQ, 14-Nov-2019,173.4,172.0,173.45,165.45,166.5,166.35,168.56,70807,119.35,2134, 38561, 54.46
AEGISCHEM, EQ, 14-Nov-2019,165.25,165.0,184.35,165.0,180.8,179.2,178.0,649000,1155.21,9944, 276241, 42.56
AFFLE, EQ, 14-Nov-2019,1650.55,1665.0,1704.25,1585.0,1662.0,1663.8,1658.41,442580,7339.81,32798, 92434, 20.89
AGARIND, EQ, 14-Nov-2019,113.4,113.45,117.5,111.95,113.4,114.2,116.49,23080,26.89,154, 20655, 89.49
AGRITECH, EQ, 14-Nov-2019,46.75,47.4,47.8,44.3,44.4,44.5,45.12,11716,5.29,312, 9293, 79.32
AGROPHOS, EQ, 14-Nov-2019,122.1,122.2,122.6,122.15,122.25,122.2,122.33,326528,399.45,21347, 108224, 33.14
AHLEAST, EQ, 14-Nov-2019,177.0,182.05,183.65,174.25,177.05,178.25,176.04,2700,4.75,156, 2334, 86.44
AHLUCONT, EQ, 14-Nov-2019,286.4,286.0,298.25,276.0,287.8,285.85,286.6,13258,38.0,1077, 3721, 28.07
AHLWEST, EQ, 14-Nov-2019,284.75,274.5,283.95,274.5,275.0,275.0,277.48,726,2.01,211, 209, 28.79
AIAENG, EQ, 14-Nov-2019,1698.6,1698.2,1698.2,1639.95,1640.1,1641.8,1645.65,84255,1386.54,7739, 72593, 86.16
AIONJSW, EQ, 14-Nov-2019,9.95,10.0,10.4,9.85,10.0,9.95,9.94,33180,3.3,76, 31804, 95.85
AIRAN, EQ, 14-Nov-2019,10.7,10.2,11.1,10.2,10.75,10.9,10.78,40736,4.39,117, 27594, 67.74
AJANTPHARM, EQ, 14-Nov-2019,981.45,982.0,989.75,971.0,979.9,975.55,978.19,42356,414.32,3573, 18420, 43.49
AJMERA, EQ, 14-Nov-2019,123.15,123.9,124.95,121.55,122.6,123.1,123.08,18296,22.52,661, 6812, 37.23
AKASH, EQ, 14-Nov-2019,62.05,63.0,65.1,60.0,60.0,60.15,62.73,2282,1.43,18, 50, 2.19
AKSHARCHEM, EQ, 14-Nov-2019,209.8,201.45,202.0,194.85,197.9,197.95,198.22,9697,19.22,541, 5295, 54.60
