SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
20MICRONS, EQ, 28-Aug-2025,228.91,228.02,233.5,225.84,231.89,230.57,230.14,70930,163.24,2892, 28060, 39.56
21STCENMGM, EQ, 28-Aug-2025,53.98,55.05,55.05,53.32,54.53,53.84,54.48,5461,2.98,149, 3919, 71.76
360ONE, EQ, 28-Aug-2025,1087.4,1080.2,1083.5,1028.1,1033.2,1043.9,1049.89,873607,9171.88,54210, 433137, 49.58
3IINFOLTD, EQ, 28-Aug-2025,23.06,23.06,23.11,22.55,22.65,22.69,22.86,97101,22.2,1119, 65277, 67.23
3MINDIA, EQ, 28-Aug-2025,30415.0,30600.0,30865.0,30100.0,30300.0,30475.0,30571.57,4436,1356.15,3525, 2893, 65.22
3PLAND, EQ, 28-Aug-2025,46.92,47.68,47.7,44.0,45.0,45.15,45.74,23429,10.72,337, 17045, 72.75
5PAISA, EQ, 28-Aug-2025,357.9,357.1,361.0,352.75,357.5,356.15,356.52,9452,33.7,1379, 5379, 56.91
63MOONS, EQ, 28-Aug-2025,929.4,933.0,936.9,917.3,920.2,920.6,924.7,87854,812.39,7440, 45344, 51.61
AAATECH, EQ, 28-Aug-2025,77.8,78.0,81.09,78.0,80.0,80.12,79.81,9719,7.76,607, 5187, 53.37
AADHARHFC, EQ, 28-Aug-2025,503.45,501.05,504.55,495.1,497.0,497.0,499.0,251622,1255.59,14967, 142693, 56.71
AARON, EQ, 28-Aug-2025,217.65,214.45,214.9,198.05,199.6,200.6,206.6,85611,176.87,3791, 33796, 39.48
AARTECH, EQ, 28-Aug-2025,59.06,59.06,60.4,57.23,57.46,57.56,58.36,21144,12.34,576, 13153, 62.21
AARTIDRUGS, EQ, 28-Aug-2025,470.05,472.8,474.2,461.75,469.8,470.35,468.09,102275,478.74,7854, 44035, 43.06
AARTIIND, EQ, 28-Aug-2025,386.0,384.1,384.8,375.0,376.15,376.95,379.2,610538,2315.15,19507, 279959, 45.85
AARTIPHARM, EQ, 28-Aug-2025,818.65,825.05,857.0,815.3,841.2,845.95,841.6,302708,2547.6,19317, 119682, 39.54
AARVI, EQ, 28-Aug-2025,121.65,121.6,121.6,114.81,116.21,116.71,117.38,21789,25.58,776, 11118, 51.03
AAVAS, EQ, 28-Aug-2025,1572.3,1580.9,1580.9,1532.8,1543.6,1542.1,1543.26,279417,4312.13,18833, 197413, 70.65
ABAN, EQ, 28-Aug-2025,47.92,47.92,49.14,47.11,47.2,47.36,47.98,69157,33.18,1273, 41680, 60.27
ABB, EQ, 28-Aug-2025,5022.0,5022.0,5039.5,4953.0,5004.0,5000.5,4998.45,335387,16764.17,34498, 218123, 65.04
ABBOTINDIA, EQ, 28-Aug-2025,31885.0,32000.0,32025.0,31355.0,31545.0,31475.0,31600.44,8264,2611.46,3723, 4850, 58.69
ABCAPITAL, EQ, 28-Aug-2025,281.0,283.0,283.85,276.6,277.45,277.45,280.29,3644279,10214.67,38327, 1588063, 43.58
ABDL, EQ, 28-Aug-2025,509.85,510.9,514.5,498.1,502.45,501.35,506.51,188951,957.05,7352, 89407, 47.32
ABFRL, EQ, 28-Aug-2025,82.56,82.56,82.57,77.85,77.89,78.08,79.76,18058814,14402.85,53643, 8441535, 46.74
ABGSEC, EQ, 28-Aug-2025,108.56,108.51,109.19,108.18,108.18,108.19,108.65,230,0.25,13, 121, 52.61
ABLBL, EQ, 28-Aug-2025,138.9,138.05,139.81,133.45,134.0,134.02,135.95,896748,1219.11,14372, 530014, 59.10
ABREL, EQ, 28-Aug-2025,1788.3,1788.0,1819.0,1738.6,1750.2,1747.2,1767.22,61407,1085.19,9708, 21156, 34.45
ABSLAMC, EQ, 28-Aug-2025,842.75,841.95,852.25,831.1,838.0,836.6,841.4,445927,3752.02,22179, 339078, 76.04
ABSLBANETF, EQ, 28-Aug-2025,55.69,55.99,55.99,54.91,55.19,54.98,55.31,117377,64.93,569, 87622, 74.65
ABSLLIQUID, EQ, 28-Aug-2025,999.99,1000.0,1000.01,999.99,1000.01,1000.0,1000.0,4510,45.1,26, 4332, 96.05
