SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
20MICRONS, EQ, 27-Dec-2019,32.3,32.5,32.65,32.0, 32.30,32.45,32.39,12999,4.21,504, 7828, 60.22
21STCENMGM, EQ, 27-Dec-2019,14.5,14.75,14.75,14.75, 14.75,14.75,14.75,61095,9.01,17, 61095, 100.00
3IINFOTECH, EQ, 27-Dec-2019,2.0,2.0,2.1,1.95, 1.95,2.0,2.02,2662933,53.71,701, 1317182, 49.46
3MINDIA, EQ, 27-Dec-2019,21496.65,21496.0,21638.35,21451.2, 21492.00,21476.25,21519.3,385,82.85,264, 227, 58.96
3PLAND, EQ, 27-Dec-2019,5.9,5.95,5.95,5.95, 5.95,5.95,5.95,150,0.01,1, 150, 100.00
5PAISA, EQ, 27-Dec-2019,177.05,181.0,194.75,177.2, 194.75,194.75,189.72,42939,81.46,1183, 21642, 50.40
63MOONS, EQ, 27-Dec-2019,100.3,100.9,104.25,100.8, 101.95,102.1,102.46,180398,184.83,2615, 50702, 28.11
A2ZINFRA, EQ, 27-Dec-2019,7.85,7.95,7.95,7.5, 7.65,7.7,7.72,101237,7.81,260, 65993, 65.19
AARTIDRUGS, EQ, 27-Dec-2019,530.4,530.3,624.9,530.3, 585.05,600.3,584.69,108177,632.49,6350, 37958, 35.09
AARTIIND, EQ, 27-Dec-2019,830.9,837.0,844.75,824.1, 833.25,835.1,837.45,209303,1752.82,8092, 119696, 57.19
AARVEEDEN, EQ, 27-Dec-2019,14.75,14.3,15.5,13.65, 14.25,14.25,14.33,28975,4.15,135, 23563, 81.32
AAVAS, EQ, 27-Dec-2019,1868.4,1874.95,1910.0,1848.0, 1848.00,1854.5,1873.06,46726,875.2,7559, 26383, 56.46
ABAN, EQ, 27-Dec-2019,25.15,25.6,26.4,24.6, 26.40,26.4,26.0,120923,31.44,569, 67653, 55.95
ABBOTINDIA, EQ, 27-Dec-2019,13080.05,13080.0,13200.15,13052.55, 13200.00,13194.25,13167.85,5626,740.82,1851, 3294, 58.55
ABCAPITAL, EQ, 27-Dec-2019,98.15,98.8,101.15,98.25, 99.45,99.5,99.83,1690208,1687.42,17011, 597336, 35.34
ABFRL, EQ, 27-Dec-2019,231.45,232.0,234.0,228.75, 232.15,232.8,231.53,315203,729.79,9259, 172345, 54.68
ABSLBANETF, EQ, 27-Dec-2019,323.53,323.53,324.84,323.53, 324.84,323.61,323.61,17,0.06,5, 16, 94.12
ABSLNN50ET, EQ, 27-Dec-2019,283.71,283.71,285.48,283.71, 285.48,285.48,283.72,200,0.57,4, 200, 100.00
ACC, EQ, 27-Dec-2019,1451.7,1456.0,1470.0,1448.65, 1455.50,1451.3,1459.98,395778,5778.29,16946, 117526, 29.69
ACCELYA, EQ, 27-Dec-2019,1070.15,1070.15,1089.0,1045.05, 1079.90,1067.5,1069.28,4293,45.9,728, 2309, 53.79
ACE, EQ, 27-Dec-2019,70.3,71.0,72.6,69.8, 72.05,71.6,71.33,56872,40.56,626, 27651, 48.62
ADANIENT, EQ, 27-Dec-2019,208.95,209.05,211.2,207.1, 210.00,209.1,209.33,2240503,4690.16,12271, 436129, 19.47
ADANIGAS, EQ, 27-Dec-2019,155.0,155.65,158.5,153.95, 155.75,155.7,155.97,1048977,1636.09,7125, 409821, 39.07
ADANIGREEN, EQ, 27-Dec-2019,156.3,159.4,164.1,149.25, 151.00,151.0,155.59,5370150,8355.6,43818, 1866461, 34.76
ADANIPORTS, EQ, 27-Dec-2019,363.65,366.75,367.9,362.8, 363.85,363.7,365.19,2146972,7840.57,30299, 445974, 20.77
ADANIPOWER, EQ, 27-Dec-2019,60.05,60.0,60.75,60.0, 60.20,60.25,60.36,2481455,1497.86,6084, 499200, 20.12
ADANITRANS, EQ, 27-Dec-2019,331.85,332.25,335.15,329.0, 329.25,330.1,331.0,139270,460.98,3162, 45667, 32.79
ADFFOODS, EQ, 27-Dec-2019,305.2,303.2,311.0,302.1, 303.70,304.45,307.23,33096,101.68,1175, 14868, 44.92
ADHUNIKIND, EQ, 27-Dec-2019,43.35,45.5,45.5,41.2, 45.50,45.5,43.62,62336,27.19,621, 41765, 67.00
ADORWELD, EQ, 27-Dec-2019,287.4,290.05,297.0,288.35, 295.80,295.95,292.95,4864,14.25,475, 1772, 36.43
ADVANIHOTR, EQ, 27-Dec-2019,54.2,53.45,55.9,53.05, 54.30,54.35,54.63,4811,2.63,89, 3815, 79.30
ADVENZYMES, EQ, 27-Dec-2019,163.5,164.5,164.6,162.9, 162.90,163.0,163.41,32016,52.32,959, 22149, 69.18
AEGISCHEM, EQ, 27-Dec-2019,173.0,173.4,178.0,173.15, 178.00,176.45,175.19,101350,177.56,3563, 58978, 58.19
AFFLE, EQ, 27-Dec-2019,1594.3,1594.85,1598.0,1550.0, 1557.00,1557.2,1565.89,92565,1449.47,6484, 23310, 25.18
AGARIND, EQ, 27-Dec-2019,78.7,79.95,80.5,77.95, 78.55,79.75,79.26,3346,2.65,143, 2366, 70.71
AGCNET, EQ, 27-Dec-2019,141.3,140.25,148.35,140.25, 147.00,146.85,147.7,33891,50.06,2055, 29768, 87.83
AGRITECH, EQ, 27-Dec-2019,43.35,43.4,44.5,43.2, 43.20,43.35,43.56,2322,1.01,75, 1345, 57.92
AGROPHOS, EQ, 27-Dec-2019,123.4,98.75,98.75,98.75, 98.75,98.75,98.75,9685,9.56,383, 9685, 100.00
AHLEAST, EQ, 27-Dec-2019,167.25,172.55,175.05,166.05, 166.05,168.65,171.51,2031,3.48,82, 1670, 82.23
AHLUCONT, EQ, 27-Dec-2019,289.0,280.45,290.95,277.55, 278.50,286.65,288.91,260402,752.34,269, 250724, 96.28
AHLWEST, EQ, 27-Dec-2019,354.4,351.0,374.0,350.0, 361.00,361.5,363.31,5679,20.63,589, 3121, 54.96
AIAENG, EQ, 27-Dec-2019,1652.8,1652.85,1692.35,1635.55, 1675.00,1683.55,1676.28,10313,172.87,1857, 5588, 54.18
AIONJSW, EQ, 27-Dec-2019,14.4,15.0,15.0,13.2, 13.50,13.4,13.97,553872,77.36,2163, 401788, 72.54
AIRAN, EQ, 27-Dec-2019,14.3,14.75,14.75,13.6, 13.60,13.6,13.8,30718,4.24,168, 15563, 50.66
AJANTPHARM, EQ, 27-Dec-2019,954.95,957.85,960.25,953.05, 957.90,958.35,957.1,19354,185.24,1409, 8019, 41.43
AJMERA, EQ, 27-Dec-2019,117.3,116.75,122.0,115.2, 116.15,116.0,118.47,44533,52.76,987, 16808, 37.74
AKASH, EQ, 27-Dec-2019,64.9,62.1,65.0,62.0, 62.00,62.0,63.54,201,0.13,4, 101, 50.25
AKSHARCHEM, EQ, 27-Dec-2019,185.6,186.0,189.0,183.0, 185.55,187.8,186.39,4122,7.68,301, 2582, 62.64
AKSHOPTFBR, EQ, 27-Dec-2019,6.6,6.6,6.7,6.45, 6.50,6.5,6.57,152923,10.05,290, 121054, 79.16
AKZOINDIA, EQ, 27-Dec-2019,1934.35,1948.0,1957.2,1923.1, 1931.55,1941.4,1936.13,11425,221.2,1354, 8176, 71.56
ALANKIT, EQ, 27-Dec-2019,11.8,12.3,12.35,11.25, 11.65,11.75,11.75,17211,2.02,142, 13862, 80.54
ALBERTDAVD, EQ, 27-Dec-2019,401.3,402.0,413.55,395.5, 406.00,403.05,405.85,3768,15.29,180, 1771, 47.00
ALBK, EQ, 27-Dec-2019,17.75,18.7,19.7,18.7, 19.25,19.2,19.21,10587370,2033.68,17051, 2121528, 20.04
ALEMBICLTD, EQ, 27-Dec-2019,55.5,55.9,57.4,55.3, 56.00,56.1,56.39,153608,86.62,1248, 84222, 54.83
ALICON, EQ, 27-Dec-2019,374.05,377.95,388.0,374.0, 383.00,385.05,379.94,2229,8.47,200, 1915, 85.91
ALKALI, EQ, 27-Dec-2019,39.85,40.65,40.65,39.5, 40.15,40.15,39.88,740,0.3,29, 598, 80.81
ALKEM, EQ, 27-Dec-2019,2037.05,2043.0,2043.0,1958.0, 2030.00,2017.15,1984.78,83877,1664.77,7186, 32284, 38.49
ALKYLAMINE, EQ, 27-Dec-2019,1054.65,1057.7,1070.0,1054.0, 1069.90,1069.05,1062.9,8344,88.69,598, 6506, 77.97
ALLCARGO, EQ, 27-Dec-2019,96.95,96.5,97.9,96.1, 96.25,96.4,96.77,64284,62.21,897, 39390, 61.27
ALLSEC, EQ, 27-Dec-2019,281.9,277.3,284.5,272.65, 280.00,276.85,277.99,231,0.64,67, 102, 44.16
ALMONDZ, EQ, 27-Dec-2019,10.15,10.5,10.9,10.25, 10.90,10.55,10.5,1371,0.14,9, 1321, 96.35
ALPA, EQ, 27-Dec-2019,16.15,17.25,17.3,15.6, 16.10,16.15,16.57,79196,13.12,300, 29070, 36.71
ALPHAGEO, EQ, 27-Dec-2019,165.1,169.25,174.0,165.0, 170.00,171.25,171.03,10491,17.94,543, 5534, 52.75
