SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
20MICRONS, EQ, 21-Nov-2019,34.9,35.2,35.2,33.05, 33.80,34.0,34.26,37922,12.99,419, 26726, 70.48
21STCENMGM, EQ, 21-Nov-2019,14.1,13.85,13.85,13.85, 13.85,13.85,13.85,1,0.0,1, 1, 100.00
3IINFOTECH, EQ, 21-Nov-2019,1.95,1.95,2.0,1.9, 1.95,1.95,1.94,662512,12.84,432, 358464, 54.11
3MINDIA, EQ, 21-Nov-2019,22372.85,22375.0,22730.0,22335.55, 22480.00,22598.55,22619.64,2121,479.76,868, 1335, 62.94
3PLAND, EQ, 21-Nov-2019,6.2,6.5,6.5,6.2, 6.20,6.2,6.23,620,0.04,5, 560, 90.32
5PAISA, EQ, 21-Nov-2019,154.05,154.1,154.1,150.0, 152.95,151.85,151.72,6660,10.1,299, 3892, 58.44
63MOONS, EQ, 21-Nov-2019,101.9,100.4,112.05,100.4, 112.05,109.5,106.75,196806,210.09,2211, 94685, 48.11
A2ZINFRA, EQ, 21-Nov-2019,8.85,9.0,9.05,8.9, 8.90,8.9,8.97,216618,19.44,414, 142456, 65.76
AARTIDRUGS, EQ, 21-Nov-2019,525.25,524.0,528.0,520.55, 524.50,524.45,524.18,7861,41.21,741, 5370, 68.31
AARTIIND, EQ, 21-Nov-2019,847.75,851.0,854.65,835.15, 839.00,843.5,849.13,116576,989.88,2661, 94436, 81.01
AARVEEDEN, EQ, 21-Nov-2019,12.6,13.25,13.25,12.45, 12.70,12.7,12.82,4355,0.56,89, 2148, 49.32
AAVAS, EQ, 21-Nov-2019,1695.3,1725.05,1748.8,1680.0, 1690.00,1696.65,1697.29,314628,5340.16,8735, 285084, 90.61
ABB, EQ, 21-Nov-2019,1449.65,1450.0,1458.4,1436.0, 1436.50,1439.2,1444.65,32816,474.08,2740, 20849, 63.53
ABBOTINDIA, EQ, 21-Nov-2019,12578.95,12635.0,12749.95,12351.6, 12400.00,12392.3,12534.89,7168,898.5,2640, 3565, 49.73
ABCAPITAL, EQ, 21-Nov-2019,85.6,86.5,99.75,85.35, 95.25,95.75,94.97,22362426,21238.6,117038, 5894992, 26.36
ABFRL, EQ, 21-Nov-2019,216.05,216.05,216.95,209.0, 210.00,210.05,212.67,703817,1496.82,22136, 392513, 55.77
ABSLBANETF, EQ, 21-Nov-2019,315.72,315.75,315.75,315.75, 315.75,315.75,315.75,10,0.03,1, 10, 100.00
ACC, EQ, 21-Nov-2019,1483.75,1487.0,1495.0,1471.0, 1471.50,1473.35,1481.45,431807,6396.98,12586, 112854, 26.14
ACCELYA, EQ, 21-Nov-2019,986.05,980.0,1010.0,961.1, 962.50,964.7,978.09,26435,258.56,2961, 8878, 33.58
ACE, EQ, 21-Nov-2019,79.8,80.25,82.5,79.4, 79.50,79.7,80.64,66530,53.65,1688, 35315, 53.08
