SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
20MICRONS, EQ, 03-Jun-2024,174.15,179.0,183.05,175.0,176.0,176.35,178.63,223671,399.54,7316, 125553, 56.13
360ONE, EQ, 03-Jun-2024,776.15,809.0,809.0,776.85,779.0,779.95,782.28,758635,5934.65,39589, 563027, 74.22
3IINFOLTD, EQ, 03-Jun-2024,34.85,35.55,35.7,34.4,34.6,34.6,35.0,898043,314.33,4632, 583698, 65.00
3MINDIA, EQ, 03-Jun-2024,33385.0,34100.0,34462.7,33400.0,33840.0,33815.85,33880.35,12641,4282.82,4070, 7392, 58.48
3PLAND, EQ, 03-Jun-2024,30.3,31.75,31.8,29.1,30.15,30.15,31.07,15753,4.89,218, 11525, 73.16
5PAISA, EQ, 03-Jun-2024,515.9,522.0,535.05,512.2,514.5,515.6,523.07,59434,310.88,5773, 33621, 56.57
63MOONS, EQ, 03-Jun-2024,332.0,347.0,348.6,334.8,348.6,348.6,344.51,188636,649.86,3255, 127641, 67.67
AADHARHFC, EQ, 03-Jun-2024,343.5,352.0,352.0,342.3,347.0,347.9,346.44,1412802,4894.45,22263, 900859, 63.76
AAKASH, EQ, 03-Jun-2024,11.3,11.55,11.85,11.45,11.85,11.85,11.82,447187,52.86,1107, 395355, 88.41
AARON, EQ, 03-Jun-2024,266.5,271.85,284.7,265.0,269.8,267.9,271.92,23883,64.94,957, 8503, 35.60
AARTIDRUGS, EQ, 03-Jun-2024,476.9,488.8,492.0,477.55,489.0,488.6,485.7,142890,694.01,11688, 60134, 42.08
AARTIIND, EQ, 03-Jun-2024,611.65,638.0,638.0,615.25,625.55,625.25,624.06,1454778,9078.74,41052, 706548, 48.57
AARTIPHARM, EQ, 03-Jun-2024,562.0,570.0,585.95,568.05,578.0,575.45,575.08,252180,1450.24,13094, 126032, 49.98
AARTISURF, EQ, 03-Jun-2024,662.7,670.0,679.95,655.0,660.0,661.45,662.93,18287,121.23,1937, 11405, 62.37
AARVEEDEN, EQ, 03-Jun-2024,23.8,23.85,24.5,23.35,23.65,23.85,23.98,25579,6.13,332, 16353, 63.93
AARVI, EQ, 03-Jun-2024,137.6,138.6,141.1,135.05,135.05,135.2,136.36,20930,28.54,487, 11422, 54.57
AAVAS, EQ, 03-Jun-2024,1596.8,1672.4,1673.9,1606.0,1628.0,1625.2,1637.54,187627,3072.46,21183, 125567, 66.92
ABB, EQ, 03-Jun-2024,8317.95,8500.5,8765.0,8395.25,8700.0,8728.0,8622.65,537121,46314.06,73100, 205394, 38.24
ABBOTINDIA, EQ, 03-Jun-2024,25887.75,26000.0,26300.0,25801.35,25875.6,25941.65,26028.98,16412,4271.88,7753, 6761, 41.20
