SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
21STCENMGM, EQ, 12-Nov-2023,18.7,19.05,19.05,19.05, 19.05,19.05,19.05,382,0.07,4, 382, 100.00
360ONE, EQ, 12-Nov-2023,542.8,545.0,550.0,526.95, 532.00,531.95,535.72,66573,356.65,3301, 31608, 47.48
3IINFOLTD, EQ, 12-Nov-2023,35.4,35.5,36.4,35.4, 36.40,36.2,35.99,202626,72.92,1425, 151738, 74.89
3MINDIA, EQ, 12-Nov-2023,31558.0,32090.0,32090.0,31580.0, 31734.95,31699.55,31777.24,427,135.69,250, 211, 49.41
3PLAND, EQ, 12-Nov-2023,28.6,28.55,29.95,27.55, 28.00,28.45,29.05,27448,7.97,290, 24527, 89.36
5PAISA, EQ, 12-Nov-2023,438.2,447.0,447.1,440.0, 447.10,444.95,444.24,18986,84.34,1232, 14441, 76.06
63MOONS, EQ, 12-Nov-2023,298.75,313.65,313.65,313.65, 313.65,313.65,313.65,78526,246.3,814, 78239, 99.63
AAATECH, EQ, 12-Nov-2023,64.1,67.45,67.45,64.35, 65.25,65.8,66.02,24615,16.25,529, 15536, 63.12
AAKASH, EQ, 12-Nov-2023,7.05,7.35,7.4,7.2, 7.25,7.3,7.29,225907,16.46,723, 194202, 85.97
AARON, EQ, 12-Nov-2023,261.45,273.0,273.0,266.0, 271.30,268.65,268.72,4255,11.43,257, 3574, 84.00
AARTIDRUGS, EQ, 12-Nov-2023,481.45,484.0,488.25,482.45, 486.80,486.95,486.89,36270,176.59,2081, 18722, 51.62
AARTIIND, EQ, 12-Nov-2023,511.15,524.5,524.5,516.0, 519.80,518.6,518.65,781349,4052.43,23566, 488557, 62.53
AARTIPHARM, EQ, 12-Nov-2023,393.35,401.2,402.15,395.8, 400.00,399.55,399.27,40410,161.35,2598, 27835, 68.88
AARTISURF, EQ, 12-Nov-2023,618.6,620.75,630.0,619.05, 629.70,626.1,625.52,5028,31.45,631, 2878, 57.24
AARVEEDEN, EQ, 12-Nov-2023,24.35,25.2,25.2,23.6, 24.95,24.85,24.74,6401,1.58,86, 5047, 78.85
AARVI, EQ, 12-Nov-2023,114.75,119.9,119.9,116.4, 118.40,118.55,118.96,15401,18.32,303, 11985, 77.82
